===== 表格 0 =====
R0: AI核查 一级维度 || 核查二级维度 (AI全自动核查条目) || 核查结果 （合格/存在问题/待核实） || 问题位置 （页码/段落） || 问题 简述 || 整改 建议
R1: 一、2026国赛AI新规合规 || AI自动核查1：核心建模AI主导痕迹检测。自动识别模型构建、公式推导、机理分析、求解逻辑等核心板块，精准判定核心建模与核心分析是否存在重度AI主导生成痕迹，核查是否违反“人工主导核心建模”官方硬性规则 ||  ||  ||  || 
R2: 一、2026国赛AI新规合规 || AI自动核查2：核心写作AI痕迹筛查。智能检测摘要、建模分析、结果论述、结论总结等核心写作板块，识别模板化文风、无个性化思考、AI通用套话堆砌等典型AI写作痕迹，判定核心内容是否过度依赖AI生成 ||  ||  ||  || 
R3: 一、2026国赛AI新规合规 || AI自动核查3：AI声明真实性匹配核查。自动比对全文AI使用痕迹与论文AI使用声明，筛查瞒报、漏报、虚假声明、用途不符等合规问题，排查刻意隐藏AI使用痕迹的违规行为 ||  ||  ||  || 
R4: 一、2026国赛AI新规合规 || AI自动核查4：AI内容人工核验痕迹检测。筛查所有AI生成段落，识别原生未修改、无场景适配、无人工打磨的纯AI内容，排查直接提交未校验AI核心内容的官方违规问题 ||  ||  ||  || 
R5: 二、AI幻觉与数据真实性核查 || AI自动核查1：原始数据真实性核查。自动校验全文数据是否完全源自赛题原题，无虚构、篡改、私自新增题目外数据、修改数据精度等AI幻觉问题 ||  ||  ||  || 
R6: 二、AI幻觉与数据真实性核查 || AI自动核查2：文献与结论真实性核查。智能排查参考文献、行业结论、仿真数据是否真实有效，无AI编造虚假文献、虚假行业结论、虚假实验成果 ||  ||  ||  || 
R7: 二、AI幻觉与数据真实性核查 || AI自动核查3：图表数值匹配核查。自动比对所有图表、表格、拟合结果、公式数值与原始计算数据，排查AI凭空造数、制图、数值前后不匹配问题 ||  ||  ||  || 
R8: 二、AI幻觉与数据真实性核查 || AI自动核查4：逻辑因果真实性核查。自动检测全文推导逻辑、因果关系，排查AI强行关联、虚假因果、无依据得出结论的致命问题 ||  ||  ||  || 
R9: 三、建模逻辑与题意适配度核查 || AI自动核查1：题意理解准确性核查。自动判定论文是否精准匹配赛题背景、核心要求、约束条件，无场景错配、题意误读、核心条件遗漏问题 ||  ||  ||  || 
R10: 三、建模逻辑与题意适配度核查 || AI自动核查2：建模逻辑自洽核查。全自动检测全文建模假设、推导过程、求解逻辑是否自洽统一，无前后矛盾、逻辑断裂、推导跳跃问题 ||  ||  ||  || 
R11: 三、建模逻辑与题意适配度核查 || AI自动核查3：全子问题闭环核查。自动核对赛题所有子问题，排查漏题、空白作答、子问题未建模、未求解、未回应的基础扣分问题 ||  ||  ||  || 
R12: 三、建模逻辑与题意适配度核查 || AI自动核查4：模型选型适配核查。自动判定模型是否贴合本题场景，无盲目堆砌高阶模型、通用模板模型，模型与问题匹配度合规合理 ||  ||  ||  || 
R13: 三、建模逻辑与题意适配度核查 || AI自动核查5：约束条件纳入核查。自动检测题目关键约束、限定条件是否全部纳入建模，无脱离题目硬性条件建模的问题 ||  ||  ||  || 
R14: 四、模型求解及结果合理性核查 || AI自动核查1：结果常识合理性核查。自动校验所有计算结果是否符合客观常识、行业规律、赛题背景，无异常数值、常识性错误 ||  ||  ||  || 
R15: 四、模型求解及结果合理性核查 || AI自动核查2：求解方法适配核查。自动判定求解方式与模型类型是否匹配，无求解方法误用导致结果失效、逻辑错误的问题 ||  ||  ||  || 
R16: 四、模型求解及结果合理性核查 || AI自动核查3：参数取值合规核查。自动检测关键参数取值是否有合理依据，无随意赋值、无依据乱设参数的问题 ||  ||  ||  || 
R17: 五、官方写作规范全自动核查 || AI自动核查1：摘要官方合规核查。自动检测摘要是否单独一页、不跨页、不溢出，字数800-1000字，包含量化结果、核心模型、创新点，无空泛套话，严格符合官方摘要要求 ||  ||  ||  || 
R18: 五、官方写作规范全自动核查 || AI自动核查2：全文结构完整性核查。自动校验论文是否完整包含题目、关键词、摘要、问题重述、问题分析、模型假设、符号说明、建模求解、结果分析、模型检验、优缺点、参考文献全模块，无结构缺失 ||  ||  ||  || 
R19: 五、官方写作规范全自动核查 || AI自动核查3：核心检验完整性核查。自动排查是否包含误差分析、灵敏度分析、稳健性分析三大必备检验，无核心模块缺失扣分问题 ||  ||  ||  || 
R20: 五、官方写作规范全自动核查 || AI自动核查4：内容呼应性核查。自动检测摘要、结论、结果、建模过程是否完全呼应，无前后矛盾、内容脱节、结论无支撑的写作问题 ||  ||  ||  || 
R21: 五、官方写作规范全自动核查 || AI自动核查5：模型假设合规核查。自动检测模型假设数量4-6条、贴合题意、合理简化，无过度简化、无效假设、致命假设问题 ||  ||  ||  || 
R22: 五、官方写作规范全自动核查 || AI自动核查6：写作同质化核查。自动排查全文是否存在大面积AI通用套话、万能模板段落，核心内容是否为本题专属写作，无同质化敷衍内容 ||  ||  ||  || 
